Variable,Description
Acc X_media,Mean acceleration along X-axis (g)
Acc X_desv,Standard deviation of acceleration along X-axis (g)
Acc X_max,Maximum acceleration along X-axis (g)
Acc X_min,Minimum acceleration along X-axis (g)
Acc X_rango,Range of acceleration along X-axis (g)
Acc Y_media,Mean acceleration along Y-axis (g)
Acc Y_desv,Standard deviation of acceleration along Y-axis (g)
Acc Y_max,Maximum acceleration along Y-axis (g)
Acc Y_min,Minimum acceleration along Y-axis (g)
Acc Y_rango,Range of acceleration along Y-axis (g)
Acc Z_media,Mean acceleration along Z-axis (g)
Acc Z_desv,Standard deviation of acceleration along Z-axis (g)
Acc Z_max,Maximum acceleration along Z-axis (g)
Acc Z_min,Minimum acceleration along Z-axis (g)
Acc Z_rango,Range of acceleration along Z-axis (g)
Giro X_media,Mean angular velocity along X-axis (°/s)
Giro X_desv,Standard deviation of angular velocity along X-axis (°/s)
Giro X_max,Maximum angular velocity along X-axis (°/s)
Giro X_min,Minimum angular velocity along X-axis (°/s)
Giro X_rango,Range of angular velocity along X-axis (°/s)
Giro Y_media,Mean angular velocity along Y-axis (°/s)
Giro Y_desv,Standard deviation of angular velocity along Y-axis (°/s)
Giro Y_max,Maximum angular velocity along Y-axis (°/s)
Giro Y_min,Minimum angular velocity along Y-axis (°/s)
Giro Y_rango,Range of angular velocity along Y-axis (°/s)
acc_mag_media,Mean magnitude of acceleration vector (g)
acc_mag_desv,Standard deviation of acceleration magnitude (g)
acc_mag_max,Maximum acceleration magnitude (g)
Acc X_entropia,Signal entropy of acceleration along X-axis
Acc Y_entropia,Signal entropy of acceleration along Y-axis
Acc Z_entropia,Signal entropy of acceleration along Z-axis
edad,Age of participant (years)
archivo,"File identifier (synthetic, anonymized)"
clase,Class label (ALZ vs CONTROL)
